date,years_since_19850101,temp_deg_C
1981-03-26,-3.7726027397260276,13.4
1981-03-27,-3.76986301369863,11.0
1981-03-28,-3.767123287671233,15.0
1981-03-29,-3.7643835616438355,15.7
1981-03-30,-3.7616438356164386,14.5
1981-03-31,-3.758904109589041,15.8
1981-04-01,-3.756164383561644,16.7
1981-04-02,-3.7534246575342465,16.8
1981-04-03,-3.750684931506849,17.5
1981-04-04,-3.747945205479452,17.1
1981-04-05,-3.745205479452055,18.1
1981-04-06,-3.7424657534246575,16.6
1981-04-07,-3.73972602739726,10.0
1981-04-08,-3.736986301369863,14.9
1981-04-09,-3.734246575342466,15.9
1981-04-10,-3.7315068493150685,13.0
1981-04-11,-3.728767123287671,7.6
1981-04-12,-3.7260273972602738,11.5
1981-04-13,-3.723287671232877,13.5
1981-04-14,-3.7205479452054795,13.0
1981-04-15,-3.717808219178082,13.3
1981-04-16,-3.7150684931506848,12.1
1981-04-17,-3.712328767123288,12.4
1981-04-18,-3.7095890410958905,13.2
1981-04-19,-3.706849315068493,13.8
1981-04-20,-3.7041095890410958,10.6
1981-04-21,-3.7013698630136984,9.0
1981-04-22,-3.6986301369863015,10.0
1981-04-23,-3.695890410958904,9.8
1981-04-24,-3.6931506849315068,11.5
1981-04-25,-3.6904109589041094,8.9
1981-04-26,-3.6876712328767125,7.4
1981-04-27,-3.684931506849315,9.9
1981-04-28,-3.682191780821918,9.3
1981-04-29,-3.6794520547945204,9.9
1981-04-30,-3.6767123287671235,7.4
1981-05-01,-3.673972602739726,8.6
1981-05-02,-3.671232876712329,11.9
1981-05-03,-3.6684931506849314,14.0
1981-05-04,-3.665753424657534,8.6
1981-05-05,-3.663013698630137,10.0
1981-05-06,-3.66027397260274,13.5
1981-05-07,-3.6575342465753424,12.0
1981-05-08,-3.654794520547945,10.5
1981-05-09,-3.652054794520548,10.7
1981-05-10,-3.649315068493151,8.1
1981-05-11,-3.6465753424657534,10.1
1981-05-12,-3.643835616438356,10.6
1981-05-13,-3.6410958904109587,5.3
1981-05-14,-3.638356164383562,6.6
1981-05-15,-3.6356164383561644,8.5
1981-05-16,-3.632876712328767,11.2
1981-05-17,-3.6301369863013697,9.8
1981-05-18,-3.627397260273973,5.9
1981-05-19,-3.6246575342465754,3.2
1981-05-20,-3.621917808219178,2.1
1981-05-21,-3.6191780821917807,3.4
1981-05-22,-3.6164383561643834,5.4
1981-05-23,-3.6136986301369864,9.6
1981-05-24,-3.610958904109589,11.5
1981-05-25,-3.6082191780821917,12.3
1981-05-26,-3.6054794520547944,12.6
1981-05-27,-3.6027397260273974,11.0
1981-05-28,-3.6,11.2
1981-05-29,-3.5972602739726027,11.4
1981-05-30,-3.5945205479452054,11.8
1981-05-31,-3.591780821917808,12.8
1981-06-01,-3.589041095890411,11.6
1981-06-02,-3.5863013698630137,10.6
1981-06-03,-3.5835616438356164,9.8
1981-06-04,-3.580821917808219,11.2
1981-06-05,-3.578082191780822,5.7
1981-06-06,-3.5753424657534247,7.1
1981-06-07,-3.5726027397260274,2.5
1981-06-08,-3.56986301369863,3.5
1981-06-09,-3.5671232876712327,4.6
1981-06-10,-3.5643835616438357,11.0
1981-06-11,-3.5616438356164384,5.7
1981-06-12,-3.558904109589041,7.7
1981-06-13,-3.5561643835616437,10.4
1981-06-14,-3.5534246575342467,11.4
1981-06-15,-3.5506849315068494,9.2
1981-06-16,-3.547945205479452,6.1
1981-06-17,-3.5452054794520547,2.7
1981-06-18,-3.5424657534246577,4.3
1981-06-19,-3.5397260273972604,6.3
1981-06-20,-3.536986301369863,3.8
1981-06-21,-3.5342465753424657,4.4
1981-06-22,-3.5315068493150683,7.1
1981-06-23,-3.5287671232876714,4.8
1981-06-24,-3.526027397260274,5.8
1981-06-25,-3.5232876712328767,6.2
1981-06-26,-3.5205479452054793,7.3
1981-06-27,-3.5178082191780824,9.2
1981-06-28,-3.515068493150685,10.2
1981-06-29,-3.5123287671232877,9.5
1981-06-30,-3.5095890410958903,9.5
1981-07-01,-3.506849315068493,10.7
1981-07-02,-3.504109589041096,10.0
1981-07-03,-3.5013698630136987,6.5
1981-07-04,-3.4986301369863013,7.0
1981-07-05,-3.495890410958904,7.4
1981-07-06,-3.493150684931507,8.1
1981-07-07,-3.4904109589041097,6.6
1981-07-08,-3.4876712328767123,8.3
1981-07-09,-3.484931506849315,8.9
1981-07-10,-3.4821917808219176,4.6
1981-07-11,-3.4794520547945207,6.8
1981-07-12,-3.4767123287671233,5.7
1981-07-13,-3.473972602739726,6.1
1981-07-14,-3.4712328767123286,7.0
1981-07-15,-3.4684931506849317,7.2
1981-07-16,-3.4657534246575343,6.3
1981-07-17,-3.463013698630137,8.8
1981-07-18,-3.4602739726027396,5.0
1981-07-19,-3.4575342465753423,7.4
1981-07-20,-3.4547945205479453,10.1
1981-07-21,-3.452054794520548,12.0
1981-07-22,-3.4493150684931506,9.0
1981-07-23,-3.4465753424657533,8.9
1981-07-24,-3.4438356164383563,9.8
1981-07-25,-3.441095890410959,9.0
1981-07-26,-3.4383561643835616,9.2
1981-07-27,-3.4356164383561643,7.7
1981-07-28,-3.4328767123287673,8.0
1981-07-29,-3.43013698630137,6.1
1981-07-30,-3.4273972602739726,3.5
1981-07-31,-3.4246575342465753,3.2
1981-08-01,-3.421917808219178,5.7
1981-08-02,-3.419178082191781,7.7
1981-08-03,-3.4164383561643836,9.0
1981-08-04,-3.4136986301369863,10.0
1981-08-05,-3.410958904109589,6.2
1981-08-06,-3.408219178082192,6.9
1981-08-07,-3.4054794520547946,6.5
1981-08-08,-3.4027397260273973,6.8
1981-08-09,-3.4,7.0
1981-08-10,-3.3972602739726026,5.2
1981-08-11,-3.3945205479452056,3.0
1981-08-12,-3.3917808219178083,5.6
1981-08-13,-3.389041095890411,7.9
1981-08-14,-3.3863013698630136,9.0
1981-08-15,-3.3835616438356166,8.6
1981-08-16,-3.3808219178082193,10.3
1981-08-17,-3.378082191780822,10.5
1981-08-18,-3.3753424657534246,7.6
1981-08-19,-3.372602739726027,9.7
1981-08-20,-3.3698630136986303,12.5
1981-08-21,-3.367123287671233,7.4
1981-08-22,-3.3643835616438356,7.9
1981-08-23,-3.361643835616438,3.9
1981-08-24,-3.3589041095890413,6.6
1981-08-25,-3.356164383561644,4.6
1981-08-26,-3.3534246575342466,7.0
1981-08-27,-3.350684931506849,6.0
1981-08-28,-3.347945205479452,5.5
1981-08-29,-3.345205479452055,8.1
1981-08-30,-3.3424657534246576,5.5
1981-08-31,-3.33972602739726,6.2
1981-09-01,-3.336986301369863,8.0
1981-09-02,-3.334246575342466,10.3
1981-09-03,-3.3315068493150686,9.8
1981-09-04,-3.328767123287671,9.6
1981-09-05,-3.326027397260274,8.5
1981-09-06,-3.3232876712328765,7.5
1981-09-07,-3.3205479452054796,11.2
1981-09-08,-3.317808219178082,14.6
1981-09-09,-3.315068493150685,11.7
1981-09-10,-3.3123287671232875,7.8
1981-09-11,-3.3095890410958906,12.3
1981-09-12,-3.3068493150684932,10.1
1981-09-13,-3.304109589041096,11.5
1981-09-14,-3.3013698630136985,7.3
1981-09-15,-3.2986301369863016,10.9
1981-09-16,-3.2958904109589042,14.1
1981-09-17,-3.293150684931507,10.7
1981-09-18,-3.2904109589041095,16.9
1981-09-19,-3.287671232876712,10.5
1981-09-20,-3.2849315068493152,6.5
1981-09-21,-3.282191780821918,11.0
1981-09-22,-3.2794520547945205,6.3
1981-09-23,-3.276712328767123,10.5
1981-09-24,-3.2739726027397262,7.2
1981-09-25,-3.271232876712329,7.6
1981-09-26,-3.2684931506849315,10.7
1981-09-27,-3.265753424657534,7.8
1981-09-28,-3.263013698630137,9.6
1981-09-29,-3.26027397260274,11.4
1981-09-30,-3.2575342465753425,12.4
1981-10-01,-3.254794520547945,8.9
1981-10-02,-3.252054794520548,13.2
1981-10-03,-3.249315068493151,8.6
1981-10-04,-3.2465753424657535,6.2
1981-10-05,-3.243835616438356,11.4
1981-10-06,-3.241095890410959,13.2
1981-10-07,-3.2383561643835614,14.3
1981-10-08,-3.2356164383561645,7.3
1981-10-09,-3.232876712328767,12.9
1981-10-10,-3.23013698630137,7.8
1981-10-11,-3.2273972602739724,6.2
1981-10-12,-3.2246575342465755,5.6
1981-10-13,-3.221917808219178,10.0
1981-10-14,-3.219178082191781,13.3
1981-10-15,-3.2164383561643834,8.3
1981-10-16,-3.213698630136986,10.2
1981-10-17,-3.210958904109589,8.6
1981-10-18,-3.208219178082192,7.3
1981-10-19,-3.2054794520547945,10.4
1981-10-20,-3.202739726027397,11.2
1981-10-21,-3.2,13.2
1981-10-22,-3.197260273972603,11.4
1981-10-23,-3.1945205479452055,9.1
1981-10-24,-3.191780821917808,6.6
1981-10-25,-3.1890410958904107,8.4
1981-10-26,-3.186301369863014,9.7
1981-10-27,-3.1835616438356165,13.2
1981-10-28,-3.180821917808219,12.5
1981-10-29,-3.1780821917808217,11.0
1981-10-30,-3.175342465753425,11.0
1981-10-31,-3.1726027397260275,11.7
1981-11-01,-3.16986301369863,9.2
1981-11-02,-3.1671232876712327,11.5
1981-11-03,-3.164383561643836,13.6
1981-11-04,-3.1616438356164385,13.7
1981-11-05,-3.158904109589041,10.4
1981-11-06,-3.1561643835616437,11.5
1981-11-07,-3.1534246575342464,7.6
1981-11-08,-3.1506849315068495,9.6
1981-11-09,-3.147945205479452,14.2
1981-11-10,-3.1452054794520548,15.7
1981-11-11,-3.1424657534246574,10.5
1981-11-12,-3.1397260273972605,10.5
1981-11-13,-3.136986301369863,9.7
1981-11-14,-3.1342465753424658,9.5
1981-11-15,-3.1315068493150684,11.3
1981-11-16,-3.128767123287671,8.9
1981-11-17,-3.126027397260274,9.4
1981-11-18,-3.1232876712328768,11.9
1981-11-19,-3.1205479452054794,11.7
1981-11-20,-3.117808219178082,13.4
1981-11-21,-3.115068493150685,12.6
1981-11-22,-3.1123287671232878,10.1
1981-11-23,-3.1095890410958904,15.8
1981-11-24,-3.106849315068493,13.6
1981-11-25,-3.1041095890410957,11.9
1981-11-26,-3.1013698630136988,9.9
1981-11-27,-3.0986301369863014,12.6
1981-11-28,-3.095890410958904,17.8
1981-11-29,-3.0931506849315067,15.0
1981-11-30,-3.0904109589041098,13.6
1981-12-01,-3.0876712328767124,13.4
1981-12-02,-3.084931506849315,10.5
1981-12-03,-3.0821917808219177,14.2
1981-12-04,-3.0794520547945203,11.5
1981-12-05,-3.0767123287671234,13.0
1981-12-06,-3.073972602739726,15.0
1981-12-07,-3.0712328767123287,14.7
1981-12-08,-3.0684931506849313,12.6
1981-12-09,-3.0657534246575344,12.5
1981-12-10,-3.063013698630137,13.5
1981-12-11,-3.0602739726027397,14.8
1981-12-12,-3.0575342465753423,17.2
1981-12-13,-3.0547945205479454,9.7
1981-12-14,-3.052054794520548,12.1
1981-12-15,-3.0493150684931507,12.8
1981-12-16,-3.0465753424657533,11.2
1981-12-17,-3.043835616438356,16.4
1981-12-18,-3.041095890410959,15.6
1981-12-19,-3.0383561643835617,13.3
1981-12-20,-3.0356164383561643,11.0
1981-12-21,-3.032876712328767,11.1
1981-12-22,-3.03013698630137,15.0
1981-12-23,-3.0273972602739727,12.8
1981-12-24,-3.0246575342465754,15.0
1981-12-25,-3.021917808219178,14.2
1981-12-26,-3.0191780821917806,14.0
1981-12-27,-3.0164383561643837,15.5
1981-12-28,-3.0136986301369864,13.3
1981-12-29,-3.010958904109589,15.6
1981-12-30,-3.0082191780821916,15.2
1981-12-31,-3.0054794520547947,17.4
1982-01-01,-3.0027397260273974,17.0
1982-01-02,-3.0,15.0
1982-01-03,-2.9972602739726026,13.5
1982-01-04,-2.9945205479452053,15.2
1982-01-05,-2.9917808219178084,13.0
1982-01-06,-2.989041095890411,12.5
1982-01-07,-2.9863013698630136,14.1
1982-01-08,-2.9835616438356163,14.8
1982-01-09,-2.9808219178082194,16.2
1982-01-10,-2.978082191780822,15.8
1982-01-11,-2.9753424657534246,19.1
1982-01-12,-2.9726027397260273,22.2
1982-01-13,-2.96986301369863,15.9
1982-01-14,-2.967123287671233,13.0
1982-01-15,-2.9643835616438357,14.1
1982-01-16,-2.9616438356164383,15.8
1982-01-17,-2.958904109589041,24.0
1982-01-18,-2.956164383561644,18.0
1982-01-19,-2.9534246575342467,19.7
1982-01-20,-2.9506849315068493,25.2
1982-01-21,-2.947945205479452,20.5
1982-01-22,-2.9452054794520546,19.3
1982-01-23,-2.9424657534246577,15.8
1982-01-24,-2.9397260273972603,17.0
1982-01-25,-2.936986301369863,18.4
1982-01-26,-2.9342465753424656,13.3
1982-01-27,-2.9315068493150687,14.6
1982-01-28,-2.9287671232876713,12.5
1982-01-29,-2.926027397260274,17.0
1982-01-30,-2.9232876712328766,17.1
1982-01-31,-2.9205479452054797,14.0
1982-02-01,-2.9178082191780823,14.6
1982-02-02,-2.915068493150685,13.3
1982-02-03,-2.9123287671232876,14.8
1982-02-04,-2.9095890410958902,15.1
1982-02-05,-2.9068493150684933,13.1
1982-02-06,-2.904109589041096,13.6
1982-02-07,-2.9013698630136986,19.5
1982-02-08,-2.8986301369863012,22.7
1982-02-09,-2.8958904109589043,17.2
1982-02-10,-2.893150684931507,13.5
1982-02-11,-2.8904109589041096,15.4
1982-02-12,-2.8876712328767122,17.0
1982-02-13,-2.884931506849315,19.2
1982-02-14,-2.882191780821918,22.8
1982-02-15,-2.8794520547945206,26.3
1982-02-16,-2.8767123287671232,18.2
1982-02-17,-2.873972602739726,17.0
1982-02-18,-2.871232876712329,14.8
1982-02-19,-2.8684931506849316,12.8
1982-02-20,-2.8657534246575342,15.5
1982-02-21,-2.863013698630137,15.6
1982-02-22,-2.8602739726027395,13.1
1982-02-23,-2.8575342465753426,15.2
1982-02-24,-2.8547945205479452,14.1
1982-02-25,-2.852054794520548,12.5
1982-02-26,-2.8493150684931505,14.6
1982-02-27,-2.8465753424657536,10.4
1982-02-28,-2.8438356164383563,13.9
1982-03-01,-2.841095890410959,11.9
1982-03-02,-2.8383561643835615,13.5
1982-03-03,-2.835616438356164,9.8
1982-03-04,-2.8328767123287673,14.0
1982-03-05,-2.83013698630137,21.5
1982-03-06,-2.8273972602739725,19.5
1982-03-07,-2.824657534246575,16.7
1982-03-08,-2.8219178082191783,19.1
1982-03-09,-2.819178082191781,11.0
1982-03-10,-2.8164383561643835,9.0
1982-03-11,-2.813698630136986,10.0
1982-03-12,-2.8109589041095893,14.6
1982-03-13,-2.808219178082192,12.5
1982-03-14,-2.8054794520547945,17.2
1982-03-15,-2.802739726027397,19.2
1982-03-16,-2.8,22.2
1982-03-17,-2.797260273972603,15.7
1982-03-18,-2.7945205479452055,14.2
1982-03-19,-2.791780821917808,9.8
1982-03-20,-2.789041095890411,14.0
1982-03-21,-2.786301369863014,17.5
1982-03-22,-2.7835616438356166,20.7
1982-03-23,-2.780821917808219,15.6
1982-03-24,-2.778082191780822,13.2
1982-03-25,-2.7753424657534245,14.5
1982-03-26,-2.7726027397260276,16.8
1982-03-27,-2.76986301369863,17.2
1982-03-28,-2.767123287671233,13.4
1982-03-29,-2.7643835616438355,14.2
1982-03-30,-2.7616438356164386,14.3
1982-03-31,-2.758904109589041,10.2
1982-04-01,-2.756164383561644,10.4
1982-04-02,-2.7534246575342465,12.3
1982-04-03,-2.750684931506849,11.9
1982-04-04,-2.747945205479452,11.2
1982-04-05,-2.745205479452055,8.5
1982-04-06,-2.7424657534246575,12.0
1982-04-07,-2.73972602739726,12.4
1982-04-08,-2.736986301369863,12.9
1982-04-09,-2.734246575342466,10.1
1982-04-10,-2.7315068493150685,15.0
1982-04-11,-2.728767123287671,13.6
1982-04-12,-2.7260273972602738,12.4
1982-04-13,-2.723287671232877,13.6
1982-04-14,-2.7205479452054795,16.1
1982-04-15,-2.717808219178082,19.5
1982-04-16,-2.7150684931506848,14.2
1982-04-17,-2.712328767123288,9.3
1982-04-18,-2.7095890410958905,10.1
1982-04-19,-2.706849315068493,7.4
1982-04-20,-2.7041095890410958,8.6
1982-04-21,-2.7013698630136984,7.8
1982-04-22,-2.6986301369863015,9.1
1982-04-23,-2.695890410958904,13.0
1982-04-24,-2.6931506849315068,16.5
1982-04-25,-2.6904109589041094,12.9
1982-04-26,-2.6876712328767125,6.9
1982-04-27,-2.684931506849315,6.9
1982-04-28,-2.682191780821918,8.7
1982-04-29,-2.6794520547945204,10.0
1982-04-30,-2.6767123287671235,10.8
1982-05-01,-2.673972602739726,7.5
1982-05-02,-2.671232876712329,6.3
1982-05-03,-2.6684931506849314,11.9
1982-05-04,-2.665753424657534,13.8
1982-05-05,-2.663013698630137,11.8
1982-05-06,-2.66027397260274,11.0
1982-05-07,-2.6575342465753424,10.1
1982-05-08,-2.654794520547945,8.5
1982-05-09,-2.652054794520548,5.5
1982-05-10,-2.649315068493151,7.6
1982-05-11,-2.6465753424657534,8.7
1982-05-12,-2.643835616438356,10.8
1982-05-13,-2.6410958904109587,11.2
1982-05-14,-2.638356164383562,9.1
1982-05-15,-2.6356164383561644,3.7
1982-05-16,-2.632876712328767,4.6
1982-05-17,-2.6301369863013697,6.6
1982-05-18,-2.627397260273973,13.2
1982-05-19,-2.6246575342465754,15.2
1982-05-20,-2.621917808219178,7.6
1982-05-21,-2.6191780821917807,8.4
1982-05-22,-2.6164383561643834,6.0
1982-05-23,-2.6136986301369864,8.3
1982-05-24,-2.610958904109589,8.6
1982-05-25,-2.6082191780821917,11.1
1982-05-26,-2.6054794520547944,12.1
1982-05-27,-2.6027397260273974,12.9
1982-05-28,-2.6,14.0
1982-05-29,-2.5972602739726027,12.5
1982-05-30,-2.5945205479452054,11.5
1982-05-31,-2.591780821917808,7.0
1982-06-01,-2.589041095890411,7.1
1982-06-02,-2.5863013698630137,9.0
1982-06-03,-2.5835616438356164,3.1
1982-06-04,-2.580821917808219,2.5
1982-06-05,-2.578082191780822,0.0
1982-06-06,-2.5753424657534247,1.6
1982-06-07,-2.5726027397260274,2.6
1982-06-08,-2.56986301369863,5.7
1982-06-09,-2.5671232876712327,2.3
1982-06-10,-2.5643835616438357,4.5
1982-06-11,-2.5616438356164384,8.2
1982-06-12,-2.558904109589041,6.9
1982-06-13,-2.5561643835616437,7.3
1982-06-14,-2.5534246575342467,6.0
1982-06-15,-2.5506849315068494,7.3
1982-06-16,-2.547945205479452,7.6
1982-06-17,-2.5452054794520547,8.0
1982-06-18,-2.5424657534246577,8.0
1982-06-19,-2.5397260273972604,6.8
1982-06-20,-2.536986301369863,7.3
1982-06-21,-2.5342465753424657,6.2
1982-06-22,-2.5315068493150683,6.9
1982-06-23,-2.5287671232876714,8.9
1982-06-24,-2.526027397260274,4.0
1982-06-25,-2.5232876712328767,1.3
1982-06-26,-2.5205479452054793,0.8
1982-06-27,-2.5178082191780824,4.3
1982-06-28,-2.515068493150685,7.3
1982-06-29,-2.5123287671232877,7.7
1982-06-30,-2.5095890410958903,9.0
1982-07-01,-2.506849315068493,4.2
1982-07-02,-2.504109589041096,1.6
1982-07-03,-2.5013698630136987,2.6
1982-07-04,-2.4986301369863013,3.4
1982-07-05,-2.495890410958904,3.9
1982-07-06,-2.493150684931507,7.0
1982-07-07,-2.4904109589041097,7.8
1982-07-08,-2.4876712328767123,5.3
1982-07-09,-2.484931506849315,2.4
1982-07-10,-2.4821917808219176,2.8
1982-07-11,-2.4794520547945207,4.0
1982-07-12,-2.4767123287671233,7.5
1982-07-13,-2.473972602739726,7.8
1982-07-14,-2.4712328767123286,5.6
1982-07-15,-2.4684931506849317,3.3
1982-07-16,-2.4657534246575343,5.0
1982-07-17,-2.463013698630137,3.7
1982-07-18,-2.4602739726027396,3.9
1982-07-19,-2.4575342465753423,5.2
1982-07-20,-2.4547945205479453,0.2
1982-07-21,-2.452054794520548,0.8
1982-07-22,-2.4493150684931506,0.9
1982-07-23,-2.4465753424657533,3.5
1982-07-24,-2.4438356164383563,6.6
1982-07-25,-2.441095890410959,9.5
1982-07-26,-2.4383561643835616,9.0
1982-07-27,-2.4356164383561643,3.5
1982-07-28,-2.4328767123287673,4.5
1982-07-29,-2.43013698630137,5.7
1982-07-30,-2.4273972602739726,5.6
1982-07-31,-2.4246575342465753,7.1
1982-08-01,-2.421917808219178,9.7
1982-08-02,-2.419178082191781,8.3
1982-08-03,-2.4164383561643836,9.1
1982-08-04,-2.4136986301369863,2.8
1982-08-05,-2.410958904109589,2.2
1982-08-06,-2.408219178082192,4.5
1982-08-07,-2.4054794520547946,3.8
1982-08-08,-2.4027397260273973,3.8
1982-08-09,-2.4,6.2
1982-08-10,-2.3972602739726026,11.5
1982-08-11,-2.3945205479452056,10.2
1982-08-12,-2.3917808219178083,7.9
1982-08-13,-2.389041095890411,9.0
1982-08-14,-2.3863013698630136,9.5
1982-08-15,-2.3835616438356166,6.0
1982-08-16,-2.3808219178082193,8.2
1982-08-17,-2.378082191780822,9.2
1982-08-18,-2.3753424657534246,4.3
1982-08-19,-2.372602739726027,6.6
1982-08-20,-2.3698630136986303,9.4
1982-08-21,-2.367123287671233,13.2
1982-08-22,-2.3643835616438356,6.6
1982-08-23,-2.361643835616438,5.1
1982-08-24,-2.3589041095890413,12.1
1982-08-25,-2.356164383561644,11.2
1982-08-26,-2.3534246575342466,8.5
1982-08-27,-2.350684931506849,4.6
1982-08-28,-2.347945205479452,7.0
1982-08-29,-2.345205479452055,14.2
1982-08-30,-2.3424657534246576,12.7
1982-08-31,-2.33972602739726,7.6
1982-09-01,-2.336986301369863,4.0
1982-09-02,-2.334246575342466,10.0
1982-09-03,-2.3315068493150686,10.5
1982-09-04,-2.328767123287671,5.0
1982-09-05,-2.326027397260274,4.5
1982-09-06,-2.3232876712328765,8.2
1982-09-07,-2.3205479452054796,4.3
1982-09-08,-2.317808219178082,9.8
1982-09-09,-2.315068493150685,5.8
1982-09-10,-2.3123287671232875,5.0
1982-09-11,-2.3095890410958906,8.5
1982-09-12,-2.3068493150684932,9.0
1982-09-13,-2.304109589041096,3.6
1982-09-14,-2.3013698630136985,6.7
1982-09-15,-2.2986301369863016,6.7
1982-09-16,-2.2958904109589042,10.1
1982-09-17,-2.293150684931507,15.0
1982-09-18,-2.2904109589041095,8.9
1982-09-19,-2.287671232876712,5.7
1982-09-20,-2.2849315068493152,4.2
1982-09-21,-2.282191780821918,4.0
1982-09-22,-2.2794520547945205,5.3
1982-09-23,-2.276712328767123,6.3
1982-09-24,-2.2739726027397262,8.5
1982-09-25,-2.271232876712329,11.5
1982-09-26,-2.2684931506849315,7.7
1982-09-27,-2.265753424657534,9.2
1982-09-28,-2.263013698630137,7.8
1982-09-29,-2.26027397260274,6.3
1982-09-30,-2.2575342465753425,6.3
1982-10-01,-2.254794520547945,8.6
1982-10-02,-2.252054794520548,6.1
1982-10-03,-2.249315068493151,13.2
1982-10-04,-2.2465753424657535,9.9
1982-10-05,-2.243835616438356,4.7
1982-10-06,-2.241095890410959,5.8
1982-10-07,-2.2383561643835614,14.9
1982-10-08,-2.2356164383561645,10.7
1982-10-09,-2.232876712328767,8.6
1982-10-10,-2.23013698630137,9.4
1982-10-11,-2.2273972602739724,5.7
1982-10-12,-2.2246575342465755,10.9
1982-10-13,-2.221917808219178,13.1
1982-10-14,-2.219178082191781,10.4
1982-10-15,-2.2164383561643834,8.2
1982-10-16,-2.213698630136986,9.8
1982-10-17,-2.210958904109589,7.5
1982-10-18,-2.208219178082192,5.8
1982-10-19,-2.2054794520547945,9.8
1982-10-20,-2.202739726027397,7.9
1982-10-21,-2.2,8.7
1982-10-22,-2.197260273972603,10.0
1982-10-23,-2.1945205479452055,10.6
1982-10-24,-2.191780821917808,8.0
1982-10-25,-2.1890410958904107,10.2
1982-10-26,-2.186301369863014,15.1
1982-10-27,-2.1835616438356165,13.9
1982-10-28,-2.180821917808219,9.2
1982-10-29,-2.1780821917808217,9.0
1982-10-30,-2.175342465753425,13.2
1982-10-31,-2.1726027397260275,7.0
1982-11-01,-2.16986301369863,10.6
1982-11-02,-2.1671232876712327,6.9
1982-11-03,-2.164383561643836,9.5
1982-11-04,-2.1616438356164385,12.5
1982-11-05,-2.158904109589041,13.6
1982-11-06,-2.1561643835616437,17.7
1982-11-07,-2.1534246575342464,16.0
1982-11-08,-2.1506849315068495,11.3
1982-11-09,-2.147945205479452,10.5
1982-11-10,-2.1452054794520548,14.4
1982-11-11,-2.1424657534246574,10.3
1982-11-12,-2.1397260273972605,9.0
