website_name,text
amazon,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem."
amazon,NOT WHAT I WANTED.
amazon,Who in their right mind is gonna buy this battery?.
amazon,Battery lasts only a few hours.
amazon,I can't use this case because the smell is disgusting.
amazon,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.
amazon,They made this case too small and is very difficult to install.
amazon,This phone might well be the worst I've ever had in any brand.
amazon,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it."
amazon,Avoid this one if you can.
amazon,The text messaging feature is really tricky to use.
amazon,"The cable looks so thin and flimsy, it is scary."
amazon,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.
amazon,Obviously there is a problem with the adhesive.
amazon,The volume switch rocketed out of the unit to a destination unknown.
amazon,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying."
amazon,This product is very High quality Chinese CRAP!!!!!!
amazon,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data."
amazon,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement
amazon,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it."
amazon,They refuse to refund or replace.
amazon,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case)."
amazon,The worst phone I've ever had.... Only had it for a few months.
amazon,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing."
amazon,I'm trying to return it for a refund.
amazon,"I went on Motorola's website and followed all directions, but could not get it to pair again."
amazon,The only thing that I think could improve is the sound leaks out from the headset.
amazon,Don't waste your money!.
amazon,Last time buying from you.
amazon,I would have given no star if I was able.
amazon,"However, the ear pads come off easily and after only one week I lost one."
amazon,However I needed some better instructions.
amazon,I have two more years left in this contract and I hate this phone.
amazon,"After 3 months, screen just went black all of a sudden."
amazon,It is unusable in a moving car at freeway speed.
amazon,"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck."
amazon,"VERY cheap plastic, creaks like an old wooden floor."
amazon,"The real killer is the volume, and of course it breaking."
amazon,Dont waste your money...
amazon,in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.
amazon,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal."
amazon,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.
amazon,What a waste of money and time!.
amazon,I only hear garbage for audio.
amazon,The replacement died in a few weeks.
amazon,The holster that arrived did not match the photo in the ad.
amazon,Reception is terrible and full of static.
amazon,The plastic breaks really easy on this clip.
amazon,"However-the riingtones are not the best, and neither are the games."
amazon,"First of all, it doesn't wear well."
amazon,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless."
amazon,"If there is a wind, it is completely useless."
amazon,Internet is excrutiatingly slow.
amazon,"bad fit, way too big."
amazon,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked."
amazon,Waste of money.
amazon,It didn't charge for me.
amazon,Sprint - terrible customer service.
amazon,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.
amazon,Design Flaw?.
amazon,The nokia CA-42 USB cable did not work with my phone.
amazon,The battery runs down quickly.
amazon,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.
amazon,"useless phone, simply deaf."
amazon,Battery life still not long enough in Motorola Razor V3i.
amazon,The battery life is highly unacceptable.
amazon,I wouldn't recommend buying this product.
amazon,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one."
amazon,worthless product.
amazon,"Using all earpieces, left or right, this thing will not stay on my ear."
amazon,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).
amazon,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.
amazon,"If you like a loud buzzing to override all your conversations, then this phone is for you!"
amazon,"It didn't work, people can not hear me when I talk."
amazon,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone."
amazon,Low Quality.
amazon,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!
amazon,How stupid is that?
amazon,"It was an inexpensive piece, but I would still have expected better quality."
amazon,Does not charge the Cingular (ATT) 8525 phone.
amazon,I have to jiggle the plug to get it to line up right to get decent volume.
amazon,So just beware.
amazon,I cannot make calls at certain places.
amazon,Not good enough for the price.
amazon,I am going to have to be the first to negatively review this product.
amazon,"Terrible product, and waste of money!"
amazon,disappointing.
amazon,The battery is unreliable as well as the service use antena.
amazon,I was not happy with this item.
amazon,Bad Reception.
amazon,I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.
amazon,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides."
amazon,"I have this phone and it is a thorn in my side, I really abhor it."
amazon,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.
amazon,"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it."
amazon,Does not work for listening to music with the cingular 8125.
amazon,The update procedure is difficult and cumbersome.
amazon,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.
amazon,So I basically threw my money out the window for nothing.
amazon,WARNING - DO NOT BUY!!.
amazon,Worst ever.
amazon,disappointed.
amazon,It would take too long to describe how bad my customer service experience has been with Amazon.
amazon,Painful on the ear.
amazon,I'm returning them.
amazon,Very Displeased.
amazon,The instruction manual is lacking.
amazon,"Voice Quality, Signal Strength, Dropped Calls."
amazon,The phone gets EXTREMELY HOT!
amazon,Used and dirty.
amazon,The majority of the Logitech earbud headsets failed.
amazon,it did not work in my cell phone plug i am very up set with the charger!.
amazon,Don't trust their website and don't expect any helpful support.
amazon,I had to purchase a different case.
amazon,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans."
amazon,I want my money back.
amazon,No buyers remorse on this one!.
amazon,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up."
amazon,The ear buds only play music in one ear.
amazon,WORST PHONE EVER.
amazon,poor voice clarity.
amazon,It looses connection to the phone even when it is within a couple feet between the two.
amazon,Terrible phone holder.
amazon,The earpiece on this is too large or too heavy...it keeps falling out of my ear.
amazon,Don't buy it.
amazon,REALLY UGLY.
amazon,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.
amazon,Having trouble with volume.
amazon,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player."
amazon,"Buyer Beware, you could flush money right down the toilet."
amazon,How can that be?The audio quality is poor.
amazon,Buttons are too small.
amazon,Save your money.... I've had this item for 11 months now.
amazon,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does."
amazon,"The charger arrived within the promised timeframe, but it did not work."
amazon,Same problem as others have mentioned.
amazon,This allows the possibility of double booking for the same date and time after the first.
amazon,Disappointed!.
amazon,"If you hate earbugs, avoid this phone by all means."
amazon,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model."
amazon,"I didn't want the clip going over the top of my ear, causing discomfort."
amazon,Then I had to continue pairing it periodically since it somehow kept dropping.
amazon,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)
amazon,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc)."
amazon,Buy a different phone - but not this.
amazon,Makes it easier to keep up with my bluetooth when I'm not wearing it.
amazon,I don't like this Nokia either.
amazon,Customer service was terrible.
amazon,I have had problems wit hit dropping signal and more.
amazon,"You can not answer calls with the unit, never worked once!"
amazon,Utter crap.. Sound quality is TERRIBLE.
amazon,Poor quality.
amazon,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down."
amazon,Mic Doesn't work.
amazon,The nano stated it.My son was dissapointed.
amazon,i got this phone around the end of may and i'm completely unhappy with it.
amazon,It is practically useless and did not add any kind of boost to my reception after I bought it.
amazon,I bought this phone as a replacement for my StarTac and have regretted it since.
amazon,Do Not Buy for D807...wrongly advertised for D807.
amazon,"Obviously they have a terrible customer service, so you get what you pay for."
amazon,"There was so much hype over this phone that I assumed it was the best, my mistake."
amazon,Not nearly as good looking as the AMAZON picture makes it look.
amazon,The buttons for on and off are bad.
amazon,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.
amazon,As I said above....PRETTY USELESS!
amazon,the charger worked for about a week and then completely stopped charging my phone.
amazon,The plug did not work very well.
amazon,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls."
amazon,The price was very good and with the free shipping and all it was a good purchase.
amazon,I was very excited to get this headset because I thought it was really cute.
amazon,The phone loads super!
amazon,Works as described.
amazon,Works fine.
amazon,Superb Phone on a Great Network.
amazon,Razr Battery - Good buy.
amazon,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended
amazon,Worth every penny.
amazon,The sound is clear and the people I talk to on it are amazed at the quality too.
amazon,After trying many many handsfree gadgets this is the one that finally works well.
amazon,Definitely a bargain.
amazon,Plan on ordering from them again and again.
amazon,For the price this was a great deal.
amazon,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.
amazon,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception."
amazon,Jawbone Era is awesome too!
amazon,Good product - incredible value.
amazon,Highly recommend for any one who has a blue tooth phone.
amazon,The file browser offers all the options that one needs.Handsfree is great.
amazon,Worked great!.
amazon,Battery life is real good.
amazon,Plantronics Bluetooth Excelent Buy.
amazon,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced."
amazon,"It works great with a car charger, especially if you cannot plug in two adapters at the same time."
amazon,So Far So Good!.
amazon,Great Value.
amazon,It fits my ear well and is comfortable on.
amazon,Gets a signal when other Verizon phones won't.
amazon,Excellent!.
amazon,"I have to use the smallest earpieces provided, but it stays on pretty well."
amazon,Great product for the price!.
amazon,This item is fantastic and works perfectly!
amazon,Great Earpiece.
amazon,I received it quickly and it works great!!
amazon,This is cool because most cases are just open there allowing the screen to get all scratched up.
amazon,The shipping time was also very quick!
amazon,"Simple, lightweight and great fit."
amazon,Works like a charm.. Works as advertised.
amazon,Blue Ant is easy to use.
amazon,The battery is working well as a replacement for the original that came with the phone over 2 years ago.
amazon,I love this thing!
amazon,The phone is sturdy and waterproof.
amazon,"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape."
amazon,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.
amazon,"The bose noise cancelling is amazing, which is very important for a NYC commuter."
amazon,Excellent wallet type phone case.
amazon,"It is well made, easy to access the phone and has a handy, detachable belt clip."
amazon,The reception through this headset is excellent.
amazon,Reversible plug works great.
amazon,Love This Phone.
amazon,Setup went very smoothly.
amazon,Phone now holds charge like it did when it was new.
amazon,"Overall, I would recommend this phone over the new Walkman."
amazon,Very good stuff for the price.
amazon,I ended up sliding it on the edge of my pants or back pockets instead.
amazon,"After charging overnight, these batteries work great."
amazon,Very well made and fits my Surefire GX2 perfectly.
amazon,I had to go to a store and bought a new NOKIA phone which is working great.
amazon,#1 It Works - #2 It is Comfortable.
amazon,"For the price on Amazon, it is an excellent product, which I would highly recommend."
amazon,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside."
amazon,IT'S REALLY EASY.
amazon,It's very convenient and simple to use - gets job done & makes the car ride so much smoother.
amazon,It has all the features I want
amazon,Great Pocket PC / phone combination.
amazon,It does everything the description said it would.
amazon,Those phones are working just fine now.
amazon,"My colleague & I now get great reception.A little expensive, but performance is great."
amazon,Clear crisp sound.
amazon,The cutouts and buttons are placed perfectly.
amazon,Logitech Bluetooth Headset is a 10!.
amazon,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days."
amazon,Authentic leather with nice shine and comfort .I recommend you this case !!
amazon,The phone can also take great pictures and even video clips.
amazon,Works well.
amazon,Better than you'd expect.
amazon,Virgin Wireless rocks and so does this cheap little phone!
amazon,Good audio quality.
amazon,Works great.
amazon,Battery charge-life is quite long.
amazon,I especially love the long battery life.
amazon,This is hands down the best phone I've ever had.
amazon,This BlueAnt Supertooth hands-free phone speaker is AWESOME.
amazon,The best phone in market :).
amazon,"Five star Plus, plus."
amazon,It has been a winner for us.
amazon,It definitely was not as good as my S11.
amazon,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.
amazon,I am very impressed with this headset from Plantronics.
amazon,The headsets are easy to use and everyone loves them.
amazon,Arrived quickly and much less expensive than others being sold.
amazon,Their Research and Development division obviously knows what they're doing.
amazon,My headset works just peachy-keen.
amazon,"It's fits like a glove and is strong, secure, and durable."
amazon,"every thing on phone work perfectly, she like it."
amazon,awesome device.
amazon,Comfortable in my hand.
amazon,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure."
amazon,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.
amazon,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.
amazon,It has everything I need and I couldn't ask for more.
amazon,"I love this phone , It is very handy and has a lot of features ."
amazon,The headset fulfills my requirements so I am happy with my purchase.
amazon,The only good thing was that it fits comfortably on small ears.
amazon,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use"
amazon,"Nice quality build, unlike some cheap s*** out there."
amazon,T-Mobile has the best customer service anywhere.
amazon,And the sound quality is great.
amazon,Better than expected.
amazon,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.
amazon,"I have used several phone in two years, but this one is the best."
amazon,!I definitly recommend!!
amazon,Great for iPODs too.
amazon,Works good.
amazon,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.
amazon,"I really recommend this faceplates since it looks very nice, elegant and cool."
amazon,I got it because it was so small and adorable.
amazon,Someone shouldve invented this sooner.
amazon,It finds my cell phone right away when I enter the car.
amazon,I would highly recommend this.
amazon,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned."
amazon,Comfort for our whole family.
amazon,Great phone!.
amazon,Excellent product for the price.
amazon,great...no problems at all!.
amazon,I have yet to run this new battery below two bars and that's three days without charging.
amazon,"Excellent product, I am very satisfied with the purchase."
amazon,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.
amazon,It's very attractive and appears to be of good quality.
amazon,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems"
amazon,This is a great deal.
amazon,I'm pleased.
amazon,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.
amazon,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.
amazon,Krussel Always good.
amazon,Exactly what I wanted.
amazon,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.
amazon,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.
amazon,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen."
amazon,I would highly recommend this product.
amazon,WELL IM SATISFIED.
amazon,This one works and was priced right.
amazon,Easy to pair with my Samsung Cell.
amazon,Phone is sturdy as all nokia bar phones are.
amazon,Its well-designed and very sharp -- the blue is a very nice color.
amazon,good protection and does not make phone too bulky.
amazon,Very good quality though
amazon,"This is an excellent tool, especially when paired with your phone's auto-answer."
amazon,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone."
amazon,I love the look and feel of Samsung flipphones.
amazon,This battery is an excellent bargain!
amazon,I would recommend this.
amazon,"It is light, easy to use, and has very clear reception and transmission."
amazon,Nice solid keyboard.
amazon,Love it.. Great armband.
amazon,Good Quality.
amazon,Price is good too.
amazon,Great phone.
amazon,Very good phone.
amazon,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!"
amazon,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!
amazon,Much less than the jawbone I was going to replace it with.
amazon,The Jabra EarGels fit my ears very well.
amazon,"You get extra minutes so that you can carry out the call and not get cut off."""
amazon,It has kept up very well.
amazon,"jabra ear gels ""R"" the best!."
amazon,Only had this a month but it's worked flawlessly so far.
amazon,Also its slim enough to fit into my alarm clock docking station without removing the case.
amazon,Great for the jawbone.
amazon,Excellent Phone.
amazon,WORTHWHILE.
amazon,Iam very pleased with my purchase.
amazon,nice leather.
amazon,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles."
amazon,Good price.
amazon,Leopard Print is wonderfully wild!.
amazon,This is a great little item.
amazon,The reception is excellent!
amazon,"Small, sleek, impressive looking, practical setup with ample storage in place."
amazon,Great sound and service.
amazon,"Comfortable, Nice Range, Good Battery Life."
amazon,The reception has been generally good.
amazon,Great phone!.
amazon,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.
amazon,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight."
amazon,You won't regret it!
amazon,Its a total package.
